Country,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
"Bonaire, Saint Eustatius and Saba",AMR,,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bosnia and Herzegovina,EUR,"3,535,961",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Botswana,AFR,"2,209,197",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Brazil,AMR,"205,962,108",94.29162092,26.60,120.90,4943337,32150,0.65%,0.65%,0.0000179,0.00000253,0.00000992,,78.95%,1,0.6239980162
British Virgin Islands,AMR,"30,113",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Brunei Darussalam,WPR,"417,542",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Bulgaria,EUR,"7,177,991",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Burkina Faso,AFR,"18,110,624",284.197051,360.3031,644.5001837,0,0,,38.36%,0.000410369,0.00061158,0.000514315,,85.83%,1,316.3583174
Burundi,AFR,"10,199,270",32.77759744,24.75819,57.53579117,1861943,0,0.00%,38.36%,0.0000777,0.0000468,0.000062,,85.83%,1,28.24192536
Cambodia,WPR,"15,517,635",23.19214339,39.54012,62.73226588,0,0,,31.22%,0.0000187,0.0000307,0.0000249,,78.95%,0,0
Cameroon,AFR,"22,834,522",78.09703971,122.0256,200.1226175,0,0,,38.36%,0.0000433,0.0000698,0.0000567,,85.83%,1,98.23186424
Canada,AMR,"35,848,610",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cape Verde,AFR,"532,913",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cayman Islands,AMR,"59,963",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Central African Republic,AFR,"4,546,100",67.54376968,114.2825,181.8263045,2590015,823749,31.80%,31.80%,0.000175946,0.000286177,0.00023234,,85.83%,1,68.27561584
Chad,AFR,"14,009,413",429.4876012,266.788,696.2755718,4853178,4451654,91.73%,91.73%,0.000444093,0.000273182,0.0003574,,85.83%,1,2577.538793
Chile,AMR,"17,762,681",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
China,WPR,"1,371,220,000",5729.091096,"6,263.44","11,992.53",0,0,,31.22%,0.0000672,0.0000804,0.0000737,,78.95%,0,0
"China, Hong Kong SAR",WPR,"7,305,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
"China, Macao SAR",WPR,"600,942",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Colombia,AMR,"48,228,697",68.53886047,61.87,130.4114533,153567,"23,629.00",15.39%,15.39%,0.000024,0.0000212,0.0000225,,78.95%,1,18.0339048
Comoros,AFR,"777,424",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Congo,AFR,"4,995,648",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cook Islands,WPR,"18,800",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Costa Rica,AMR,"4,807,852",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cote d'Ivoire,AFR,"23,108,472",0,0,0,0,997442,,38.36%,0,0,0,,85.83%,0,0
Croatia,EUR,"4,203,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Cuba,AMR,"11,461,432",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Curacao,AMR,"157,979",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cyprus,EUR,"1,160,985",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Czech Republic,EUR,"10,546,059",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Democratic People's Republic of Korea,SEA,"25,243,917",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Democratic Republic of the Congo,AFR,"76,196,619",221.9113939,446.89,668.80,7096441,1027046,14.47%,14.47%,0.0000348,0.000071,0.000053,,85.83%,1,94.8651508
Denmark,EUR,"5,683,483",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Djibouti,EMR,"927,414",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Dominica,AMR,"73,162",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Dominican Republic,AMR,"10,528,394",0,0,0,0,1027046,,4.12%,0,0,0,,78.95%,0,0
Ecuador,AMR,"16,144,368",0,0.00,0,,,,4.12%,0,0,0,,78.95%,0,0
Egypt,EMR,"93,778,172",434.9500841,452.28,887.2265934,1736759,0,0.00%,11.57%,0.0000688,0.000088,0.0000782,0.47,47.00%,1,51.00587093
El Salvador,AMR,"6,312,478",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Equatorial Guinea,AFR,"1,175,389",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Eritrea,AFR,,35.79244379,29.79379,65.58623635,1076700,743984,69.10%,69.10%,0.0000784,0.0000952,0.0000868,,85.83%,1,95.59725393
Estonia,EUR,"1,315,407",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ethiopia,AFR,"99,873,033",16307.31083,"21,234.41","37,541.72",69802693,"49,870,966",71.45%,71.45%,0.004639152,0.00576566,0.005200631,,85.83%,1,59525.89575
Fiji,WPR,"892,149",2.150518846,3.67888,5.829398757,911449,0,0.00%,31.22%,0.0000473,0.0000797,0.0000634,,78.95%,1,1.90720718
Finland,EUR,"5,479,531",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
France,EUR,"66,624,068",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
French Polynesia,WPR,"277,690",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Gabon,AFR,"1,930,175",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Gambia,AFR,"1,977,590",17.11771408,31.14373,48.26143959,0,74,,38.36%,0.000160576,0.000277059,0.000220237,0.83,83.00%,0,0
Georgia,EUR,"3,717,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Germany,EUR,"81,686,611",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ghana,AFR,"27,582,821",76.19258015,111.5164,187.7089765,0,0,,38.36%,0.0000417,0.0000603,0.0000513,,85.83%,0,0
Greece,EUR,"10,820,883",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Greenland,EUR,56114,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Grenada,AMR,"106,823",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Guam,WPR,"161,797",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Guatemala,AMR,"16,252,429",19.87281813,46.04822,65.92103434,116582,521,0.45%,0.45%,0.0000323,0.0000848,0.0000597,,78.95%,1,0.2334215952
Guinea,AFR,"12,091,533",179.9380011,223.0378,402.9757788,3531049,3229420,91.46%,91.46%,0.000357565,0.0004502,0.000405555,0.953,95.30%,1,2735.291485
Guinea-Bissau,AFR,"1,770,526",7.191301597,15.49046,22.68176409,407686,347855,85.32%,85.32%,0.000119889,0.00022141,0.00017234,,85.83%,1,62.06756073
Guyana,AMR,"768,514",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Haiti,AMR,"10,711,061",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Honduras,AMR,"8,960,829",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Hungary,EUR,"9,843,028",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Iceland,EUR,"330,815",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
India,SEA,"1,309,053,980","28,236.36","24,866.82","53,103.18",0,2.00,,44.75%,0.000410307,0.000378079,0.000394469,,78.95%,1,29015.83806
Indonesia,SEA,"258,162,113",0,0.00,0.00,,,,44.75%,0,0,0,,78.95%,0,0
Iran,EMR,"79,360,487",91.86694767,219.0308,310.8977467,0,0,,11.57%,0.000016,0.0000515,0.0000338,,68.53%,0,0
Iraq,EMR,"36,115,649",102.4241676,145.2288,247.6529756,0,0,,11.57%,0.0000378,0.0000602,0.0000489,,68.53%,0,0
Ireland,EUR,"4,676,835",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Israel,EUR,"8,380,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Italy,EUR,"60,730,582",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Jamaica,AMR,"2,871,934",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Japan,WPR,"127,141,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Jordan,EMR,"9,159,302",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kazakhstan,EUR,"17,544,126",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Kenya,AFR,"47,236,259",171.9011625,240.0628,411.964012,3325855,395962,11.91%,11.91%,0.0000516,0.0000746,0.0000632,,85.83%,1,46.89005741
Kiribati,WPR,"112,407",0.761527426,1.589104,2.350631685,120007,"87,402",72.83%,72.83%,0.000174335,0.000331104,0.000254877,,78.95%,1,3.180656797
Kuwait,EMR,"3,935,794",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kyrgyzstan,EUR,"5,956,900",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lao People's Democratic Republic,WPR,"6,663,967",16.88079296,46.19196,63.0727553,0,0,,31.22%,0.0000514,0.000114151,0.0000829,,78.95%,0,0
Latvia,EUR,"1,977,527",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lebanon,EMR,"5,851,479",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Lesotho,AFR,"2,174,645",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Liberia,AFR,"4,499,621",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Libya,EMR,"6,234,955",13.13173421,18.14188,31.27361904,,,,11.57%,0.0000563,0.0000884,0.0000721,,68.53%,0,0
Lithuania,EUR,"2,904,910",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Luxembourg,EUR,"569,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Madagascar,AFR,"24,234,088",0,0.00,0,,,,38.36%,0,0,0,,85.83%,0,0
Malawi,AFR,"17,573,607",27.83709308,26.38341,54.22049985,1357904,"1,216,356",89.58%,89.58%,0.0000372,0.0000188,0.0000276,,85.83%,1,180.3587306
Malaysia,WPR,"30,723,155",0,0,0.00,,,,31.22%,0,0,0,,78.95%,0,0
Maldives,SEA,"409,163",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Mali,AFR,"17,467,905",310.2797278,391.0613,701.3409973,63394900,0,0.00%,38.36%,0.000493008,0.00064419,0.000569446,,85.83%,1,344.2591072
Malta,EUR,"431,874",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Marshall Islands,WPR,"52,994",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Mauritania,AFR,"4,182,341",18.32696029,20.49891,38.82587103,337405,0,0.00%,38.36%,0.0000738,0.0000832,0.0000786,,85.83%,1,19.05800424
Mauritius,AFR,"1,262,605",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Mexico,AMR,"125,890,949",149.7565144,504.83,654.5908359,0,0.00,,4.12%,0.0000322,0.000151203,0.0000942,,78.95%,0,0
Micronesia (Federated States of),WPR,"104,433",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Monaco,EUR,"38,307",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Mongolia,WPR,"2,976,877",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Montenegro,EUR,"622,159",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Montserrat,AMR,"5,012",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Morocco,EMR,"34,803,322",181.209529,263.2096,444.4191094,0,0,,11.57%,0.000175239,0.000235725,0.000205901,,68.53%,0,0
Mozambique,AFR,"28,010,691",68.68,58.54,127.22,"4,395,204.00",0.00,0.00%,38.36%,0.0000374,0.0000401,0.0000388,,85.83%,1,62.44784219
Myanmar,SEA,"52,403,669",549.42,1179.986,"1,729.41",0,0,,44.75%,0.000135237,0.000273048,0.000207155,,78.95%,0,0
Namibia,AFR,"2,425,561",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Nauru,WPR,"12,475",0.007430239,0.013522,0.020952616,,,,31.22%,0.0000174,0.0000304,0.0000239,,78.95%,1,0.0068550774
Nepal,SEA,"28,656,282",103.2344423,168.66,271.89,0,0,,44.75%,0.0000731,0.0000968,0.0000855,,78.95%,0,0
Netherlands,EUR,"16,939,923",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
New Caledonia,WPR,"273,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
New Zealand,WPR,"4,595,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Nicaragua,AMR,"6,082,035",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Niger,AFR,"19,896,965",1890.339643,2562.826,4453.166102,7846331,2151297,27.42%,27.42%,0.003706763,0.004976579,0.004349917,,85.83%,1,1370.529517
Nigeria,AFR,"181,181,744",8707.526434,9163.94,17871.46628,19868226,6034667,30.37%,30.37%,0.000938178,0.001057793,0.000999803,,85.83%,1,6302.210568
Niue,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Northern Mariana Islands,WPR,"54,816",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Norway,EUR,"5,188,607",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Oman,EMR,"4,199,810",1.74E+02,165.5288,3.39E+02,0,0,,11.57%,0.000947146,0.00193429,0.001299301,,68.53%,0,0.00E+00
Pakistan,EMR,"189,380,513",16961.79817,14423.45,31385.25096,3177676,1451130,45.67%,45.67%,0.001038589,0.000938182,0.000989329,0.953,95.30%,1,24183.6072
Palau,WPR,"21,288",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Panama,AMR,"3,969,249",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Papua New Guinea,WPR,"7,919,825",179.0671987,237.4586,416.5258371,1158540,0,0.00%,31.22%,0.000593201,0.000816541,0.000701667,,78.95%,1,136.2749574
Paraguay,AMR,"6,639,119",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Peru,AMR,"31,376,671",4.907780696,5.270441,10.17822201,146950,0,0.00%,4.12%,0.00000233,0.00000255,0.00000244,,78.95%,1,0.3423078593
Philippines,WPR,"101,716,359",0.00,0.00,0.00,,,,31.22%,0,0,0,,78.95%,0,0
Poland,EUR,"37,986,412",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Portugal,EUR,"10,358,076",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Puerto Rico,AMR,"3,473,181",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Qatar,EMR,"2,481,539",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Republic of Korea,WPR,"51,014,947",0,0.00E+00,0.00E+00,,,,31.22%,0,0,0,,78.95%,0,0.00E+00
Republic of Moldova,EUR,"3,554,108",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Romania,EUR,"19,815,481",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Russia,EUR,"144,096,870",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Rwanda,AFR,"11,629,553",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saint Kitts and Nevis,AMR,"54,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Lucia,AMR,"177,206",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Vincent and the Grenadines,AMR,"109,455",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Samoa,WPR,193759,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
San Marino,EUR,32960,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sao Tome and Principe,AFR,195553,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saudi Arabia,EMR,31557144,0,0,0,,,,11.57%,0,0,0,0.633,63.30%,0,0
Senegal,AFR,14976994,46.89073932,78.36099,125.2517337,152175200,1058940,0.70%,0.70%,0.0000946,0.00014973,0.000122277,,85.83%,1,0.7526082271
Serbia,EUR,7095383,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Seychelles,AFR,93419,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sierra Leone,AFR,7237025,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Singapore,WPR,5535002,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Sint Maarten (Dutch part),AMR,38824,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Slovakia,EUR,5423801,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Slovenia,EUR,2063531,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Solomon Islands,WPR,587482,4.552424763,6.775098,11.32752318,530022,0,0.00%,31.22%,0.000225706,0.000346179,0.000285007,,78.95%,1,3.706031177
Somalia,EMR,13908129,2142.141419,"2,878.49",5020.626742,,,,11.57%,0.00394121,0.005755149,0.004836548,,68.53%,0,0
South Africa,AFR,55011976.68,0.00,0.00,0.00,,,,38.36%,0,0,0,,85.83%,0,0
South Sudan,AFR,11882136,851.6576102,951.9096,1803.56725,203740300,104217,0.05%,0.05%,0.001798795,0.001330888,0.001566172,,85.83%,1,0.7922106304
Spain,EUR,46447697,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sri Lanka,SEA,20966000,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Sudan,EMR,38647803,285.0504046,78.67193,363.7223342,406762000,2443261,0.60%,0.60%,0.0000982,0.0000273,0.0000627,,68.53%,1,1.503463158
Suriname,AMR,553208,0.00E+00,0.00E+00,0.00E+00,,,,4.12%,0,0,0,,78.95%,0,0.00E+00
Swaziland,AFR,1319011,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sweden,EUR,9799186,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Switzerland,EUR,8282396,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Syrian Arab Republic,EMR,18734987,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Tajikistan,EUR,8548651,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Tanzania,AFR,53879957,281.5249693,309.39,590.91,3216046,2651671,82.45%,82.45%,0.0000706,0.0000727,0.0000717,0.792,79.20%,0,0
Thailand,SEA,68657600,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
The former Yugoslav Republic of Macedonia,EUR,2079308,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Timor-Leste,SEA,1240977,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Togo,AFR,7416802,85.0765649,82.18195,167.2585198,0,0,,38.36%,0.000166985,0.000175339,0.000171272,,85.83%,0,0
Tokelau,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Tonga,WPR,106364,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Trinidad and Tobago,AMR,1360092,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tunisia,EMR,11273661,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Turkey,EUR,78271472,0,0,0,,,,44.75%,0,0,0,0.8958,89.58%,0,0
Turkmenistan,EUR,5565284,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Turks and Caicos Islands,AMR,34339,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tuvalu,WPR,11001,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Uganda,AFR,40144870,30.65268515,180.9576,211.6103252,58942100,"485,774.00",0.82%,0.82%,0.0000114,0.000146126,0.0000805,,85.83%,1,1.507594724
Ukraine,EUR,45154029,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United Arab Emirates,EMR,9154302,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
United Kingdom of Great Britain and Northern Ireland,EUR,65128861,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United States,AMR,320896618,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uruguay,AMR,3431552,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
US Virgin Islands,AMR,103574,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uzbekistan,EUR,31298900,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Vanuatu,WPR,264603,0.382577384,0.626967,1.009544003,277708,0,0.00%,31.22%,0.0000355,0.000058,0.0000467,,78.95%,1,0.3302929944
Venezuela,AMR,31155134,0,0.00,0,,,,4.12%,0,0,0,,78.95%,0,0
Viet Nam,WPR,91713300,478.0514737,1102.976,1581.027817,"3,712.00",3712,100.00%,100.00%,0.00014619,0.000332329,0.000241177,,78.95%,1,5931.322657
Wallis and Futuna Islands,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
West Bank and Gaza Strip,EMR,4422143,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Yemen,EMR,26916207,170.4245109,224.7949,395.2193982,1455523,0,0.00%,11.57%,0.000108019,0.000156985,0.000132521,,68.53%,1,34.02671984
Zambia,AFR,16100587,65.69937136,30.37955,96.07892635,459753600,2795580,0.61%,0.61%,0.0000531,0.0000242,0.0000384,,85.83%,1,0.504084688
Zimbabwe,AFR,15777451,52.98628975,127.32,180.31,166015900,0.00,0.00%,38.36%,0.0000518,0.000112253,0.0000837,,85.83%,1,88.50688991
