#N/A,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
Barbados,AMR,"284,217",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Belarus,EUR,"9,489,616",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belgium,EUR,"11,274,196",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belize,AMR,"359,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Benin,AFR,"10,575,952",218.947559,388.050511,606.99807,1112343,1083924,97.45%,97.45%,0.000197253,0.00036,0.000280788,,85.83%,1,3103.349094
Bermuda,AMR,"65,235",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bhutan,SEA,"787,386",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Bolivia,AMR,"10,724,705",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
"Bonaire, Saint Eustatius and Saba",AMR,,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bosnia and Herzegovina,EUR,"3,535,961",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Botswana,AFR,"2,209,197",48.4201587,64.4767405,112.896899,,,,38.36%,0,0,0,,85.83%,0,0
Brazil,AMR,"205,962,108",4290.62188,"5,521.00","9,811.62",4943337,32150,0.65%,0.65%,0.0000184,0.00000257,0.0000102,,78.95%,1,50.64225775
British Virgin Islands,AMR,"30,113",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Brunei Darussalam,WPR,"417,542",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Bulgaria,EUR,"7,177,991",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Burkina Faso,AFR,"18,110,624",640.196492,828.465714,1468.66221,0,0,,38.36%,0.000340327,0.000471,0.00040785,,85.83%,1,720.9051562
Burundi,AFR,"10,199,270",30.9695941,45.7436542,76.7132483,1861943,0,0.00%,38.36%,0.0000693,0.0000481,0.0000585,,85.83%,1,37.65534094
Cambodia,WPR,"15,517,635",479.290295,1263.46656,1742.75685,0,0,,31.22%,0.0000162,0.0000269,0.0000217,,78.95%,0,0
Cameroon,AFR,"22,834,522",242.643009,499.429198,742.072207,0,0,,38.36%,0.0000393,0.0000641,0.0000518,,85.83%,1,364.2523629
Canada,AMR,"35,848,610",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cape Verde,AFR,"532,913",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cayman Islands,AMR,"59,963",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Central African Republic,AFR,"4,546,100",39.0551104,91.0298278,130.084938,2590015,823749,31.80%,31.80%,0.000183605,0.000299,0.000242633,,85.83%,1,48.84677867
Chad,AFR,"14,009,413",723.165383,868.498365,1591.66375,4853178,4451654,91.73%,91.73%,0.000384807,0.000221,0.000301937,,85.83%,1,5892.171471
Chile,AMR,"17,762,681",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
China,WPR,"1,371,220,000",7808.0563,"11,531.21","19,339.27",0,0,,31.22%,0.0000755,0.0000946,0.000085,,78.95%,0,0
"China, Hong Kong SAR",WPR,"7,305,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
"China, Macao SAR",WPR,"600,942",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Colombia,AMR,"48,228,697",0,0.00,0,153567,"23,629.00",15.39%,15.39%,0.0000229,0.0000209,0.0000218,,78.95%,1,0
Comoros,AFR,"777,424",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Congo,AFR,"4,995,648",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cook Islands,WPR,"18,800",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Costa Rica,AMR,"4,807,852",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cote d'Ivoire,AFR,"23,108,472",0,0,0,0,997442,,38.36%,0,0,0,,85.83%,0,0
Croatia,EUR,"4,203,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Cuba,AMR,"11,461,432",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Curacao,AMR,"157,979",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cyprus,EUR,"1,160,985",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Czech Republic,EUR,"10,546,059",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Democratic People's Republic of Korea,SEA,"25,243,917",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Democratic Republic of the Congo,AFR,"76,196,619",670.635558,"1,517.19","2,187.82",7096441,1027046,14.47%,14.47%,0.0000295,0.0000606,0.0000451,,85.83%,1,310.330118
Denmark,EUR,"5,683,483",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Djibouti,EMR,"927,414",62.1425681,67.5972288,129.739797,,,,11.57%,0,0,0,,68.53%,0,0
Dominica,AMR,"73,162",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Dominican Republic,AMR,"10,528,394",0,0,0,0,1027046,,4.12%,0,0,0,,78.95%,0,0
Ecuador,AMR,"16,144,368",0,0.00,0,,,,4.12%,0,0,0,,78.95%,0,0
Egypt,EMR,"93,778,172",1421.65367,"2,428.02",3849.669,1736759,0,0.00%,11.57%,0.0000585,0.0000741,0.0000662,0.47,47.00%,1,221.3140607
El Salvador,AMR,"6,312,478",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Equatorial Guinea,AFR,"1,175,389",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Eritrea,AFR,,333.952416,462.700605,796.653021,1076700,743984,69.10%,69.10%,0.0000664,0.000086,0.0000762,,85.83%,1,1161.186331
Estonia,EUR,"1,315,407",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ethiopia,AFR,"99,873,033",4785.68253,"10,886.63","15,672.32",69802693,"49,870,966",71.45%,71.45%,0.004611441,0.005658,0.005133281,,85.83%,1,24849.92009
Fiji,WPR,"892,149",34.9557689,44.138272,79.0940409,911449,0,0.00%,31.22%,0.0000438,0.0000743,0.000059,,78.95%,1,25.8772352
Finland,EUR,"5,479,531",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
France,EUR,"66,624,068",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
French Polynesia,WPR,"277,690",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Gabon,AFR,"1,930,175",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Gambia,AFR,"1,977,590",0,0,0,0,74,,38.36%,0.000136488,0.000227,0.000183023,0.83,83.00%,0,0
Georgia,EUR,"3,717,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Germany,EUR,"81,686,611",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ghana,AFR,"27,582,821",418.19925,508.058274,926.257524,0,0,,38.36%,0.0000349,0.0000498,0.0000426,,85.83%,0,0
Greece,EUR,"10,820,883",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Greenland,EUR,56114,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Grenada,AMR,"106,823",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Guam,WPR,"161,797",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Guatemala,AMR,"16,252,429",329.614369,543.353684,872.968053,116582,521,0.45%,0.45%,0.0000278,0.0000716,0.0000507,,78.95%,1,3.091116479
Guinea,AFR,"12,091,533",478.879061,670.859622,1149.73868,3531049,3229420,91.46%,91.46%,0.000293101,0.000343,0.000319103,0.953,95.30%,1,7804.117734
Guinea-Bissau,AFR,"1,770,526",69.2600803,110.582784,179.842864,407686,347855,85.32%,85.32%,0.000104431,0.000185,0.000145902,,85.83%,1,492.1313809
Guyana,AMR,"768,514",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Haiti,AMR,"10,711,061",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Honduras,AMR,"8,960,829",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Hungary,EUR,"9,843,028",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Iceland,EUR,"330,815",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
India,SEA,"1,309,053,980","65,573.63","95,380.72","160,954.35",0,2.00,,44.75%,0.000407068,0.000385,0.000396108,,78.95%,1,87946.24675
Indonesia,SEA,"258,162,113",0,0.00,0.00,,,,44.75%,0,0,0,,78.95%,0,0
Iran,EMR,"79,360,487",880.742261,1118.90928,1999.65154,0,0,,11.57%,0.0000139,0.000042,0.0000279,,68.53%,0,0
Iraq,EMR,"36,115,649",1394.54541,1973.64656,3368.19197,0,0,,11.57%,0.0000341,0.000054,0.000044,,68.53%,0,0
Ireland,EUR,"4,676,835",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Israel,EUR,"8,380,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Italy,EUR,"60,730,582",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Jamaica,AMR,"2,871,934",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Japan,WPR,"127,141,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Jordan,EMR,"9,159,302",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kazakhstan,EUR,"17,544,126",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Kenya,AFR,"47,236,259",411.129842,596.586809,1007.71665,3325855,395962,11.91%,11.91%,0.0000532,0.0000759,0.0000647,,85.83%,1,114.6990761
Kiribati,WPR,"112,407",3.58776951,6.7406756,10.3284451,120007,"87,402",72.83%,72.83%,0.000144905,0.000278,0.000213171,,78.95%,1,13.97549404
Kuwait,EMR,"3,935,794",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kyrgyzstan,EUR,"5,956,900",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lao People's Democratic Republic,WPR,"6,663,967",0,0,0,0,0,,31.22%,0.0000443,0.000101,0.0000727,,78.95%,0,0
Latvia,EUR,"1,977,527",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lebanon,EMR,"5,851,479",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Lesotho,AFR,"2,174,645",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Liberia,AFR,"4,499,621",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Libya,EMR,"6,234,955",195.166099,194.676447,389.842546,,,,11.57%,0.0000614,0.000101,0.0000807,,68.53%,0,0
Lithuania,EUR,"2,904,910",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Luxembourg,EUR,"569,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Madagascar,AFR,"24,234,088",0,0.00,0,,,,38.36%,0,0,0,,85.83%,0,0
Malawi,AFR,"17,573,607",310.018036,509.290142,819.308179,1357904,"1,216,356",89.58%,89.58%,0.0000239,0.0000183,0.000021,,85.83%,1,2725.341588
Malaysia,WPR,"30,723,155",0,0,0.00,,,,31.22%,0,0,0,,78.95%,0,0
Maldives,SEA,"409,163",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Mali,AFR,"17,467,905",995.350963,1406.1529,2401.50386,63394900,0,0.00%,38.36%,0.000398659,0.000489,0.000444577,,85.83%,1,1178.798299
Malta,EUR,"431,874",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Marshall Islands,WPR,"52,994",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Mauritania,AFR,"4,182,341",252.289305,324.828962,577.118266,337405,0,0.00%,38.36%,0.0000643,0.0000712,0.0000678,,85.83%,1,283.2833383
Mauritius,AFR,"1,262,605",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Mexico,AMR,"125,890,949",1405.13599,"1,643.77",3048.91021,0,0.00,,4.12%,0.0000372,0.000156,0.000099,,78.95%,0,0
Micronesia (Federated States of),WPR,"104,433",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Monaco,EUR,"38,307",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Mongolia,WPR,"2,976,877",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Montenegro,EUR,"622,159",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Montserrat,AMR,"5,012",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Morocco,EMR,"34,803,322",277.623994,371.713372,649.337365,0,0,,11.57%,0.000155472,0.000211,0.000183613,,68.53%,0,0
Mozambique,AFR,"28,010,691",748.72,"1,097.55","1,846.27","4,395,204.00",0.00,0.00%,38.36%,0.0000287,0.0000345,0.0000317,,85.83%,1,906.2587347
Myanmar,SEA,"52,403,669","1,561.10",3286.07064,"4,847.17",0,0,,44.75%,0.000135766,0.000295,0.000218936,,78.95%,0,0
Namibia,AFR,"2,425,561",87.330326,134.868469,222.198795,,,,38.36%,0,0,0,,85.83%,0,0
Nauru,WPR,"12,475",0,0,0,,,,31.22%,0.000015,0.0000262,0.0000206,,78.95%,1,0
Nepal,SEA,"28,656,282",1060.41747,"1,431.95","2,492.37",0,0,,44.75%,0.0000671,0.0000922,0.0000804,,78.95%,0,0
Netherlands,EUR,"16,939,923",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
New Caledonia,WPR,"273,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
New Zealand,WPR,"4,595,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Nicaragua,AMR,"6,082,035",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Niger,AFR,"19,896,965",1153.0224,1582.47336,2735.49576,7846331,2151297,27.42%,27.42%,0.003217616,0.004265,0.003748521,,85.83%,1,841.8903756
Nigeria,AFR,"181,181,744",5103.80992,7075.67416,12179.4841,19868226,6034667,30.37%,30.37%,0.000862051,0.000976,0.000921004,,85.83%,1,4294.984654
Niue,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Northern Mariana Islands,WPR,"54,816",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Norway,EUR,"5,188,607",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Oman,EMR,"4,199,810",2.00E+02,170.237181,3.70E+02,0,0,,11.57%,0.000845937,0.001827,0.001186702,,68.53%,0,0.00E+00
Pakistan,EMR,"189,380,513",5954.33515,7477.22177,13431.5569,3177676,1451130,45.67%,45.67%,0.001023239,0.000925,0.000974809,0.953,95.30%,1,10349.55867
Palau,WPR,"21,288",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Panama,AMR,"3,969,249",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Papua New Guinea,WPR,"7,919,825",855.336243,933.562145,1788.89839,1158540,0,0.00%,31.22%,0.000482156,0.000657,0.000566884,,78.95%,1,585.274742
Paraguay,AMR,"6,639,119",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Peru,AMR,"31,376,671",0,0,0,146950,0,0.00%,4.12%,0.00000238,0.00000249,0.00000244,,78.95%,1,0
Philippines,WPR,"101,716,359",0.00,0.00,0.00,,,,31.22%,0,0,0,,78.95%,0,0
Poland,EUR,"37,986,412",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Portugal,EUR,"10,358,076",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Puerto Rico,AMR,"3,473,181",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Qatar,EMR,"2,481,539",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Republic of Korea,WPR,"51,014,947",0,0.00E+00,0.00E+00,,,,31.22%,0,0,0,,78.95%,0,0.00E+00
Republic of Moldova,EUR,"3,554,108",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Romania,EUR,"19,815,481",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Russia,EUR,"144,096,870",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Rwanda,AFR,"11,629,553",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saint Kitts and Nevis,AMR,"54,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Lucia,AMR,"177,206",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Vincent and the Grenadines,AMR,"109,455",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Samoa,WPR,193759,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
San Marino,EUR,32960,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sao Tome and Principe,AFR,195553,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saudi Arabia,EMR,31557144,0,0,0,,,,11.57%,0,0,0,0.633,63.30%,0,0
Senegal,AFR,14976994,556.269703,1051.91369,1608.18339,152175200,1058940,0.70%,0.70%,0.0000824,0.000123,0.000102997,,85.83%,1,9.663195983
Serbia,EUR,7095383,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Seychelles,AFR,93419,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sierra Leone,AFR,7237025,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Singapore,WPR,5535002,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Sint Maarten (Dutch part),AMR,38824,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Slovakia,EUR,5423801,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Slovenia,EUR,2063531,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Solomon Islands,WPR,587482,20.1849086,23.0785958,43.2635044,530022,0,0.00%,31.22%,0.000198798,0.000307,0.000252189,,78.95%,1,14.15454143
Somalia,EMR,13908129,712.729872,917.16,1629.89143,,,,11.57%,0.003887352,0.005727,0.004795429,,68.53%,0,0
South Africa,AFR,55011976.68,0.00,0.00,0.00,,,,38.36%,0,0,0,,85.83%,0,0
South Sudan,AFR,11882136,217.435583,328.411425,545.847008,203740300,104217,0.05%,0.05%,0.001668863,0.001413,0.001540226,,85.83%,1,0.2397613964
Spain,EUR,46447697,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sri Lanka,SEA,20966000,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Sudan,EMR,38647803,1155.06136,1142.98431,2298.04567,406762000,2443261,0.60%,0.60%,0.0000824,0.0000252,0.0000538,,68.53%,1,9.499078485
Suriname,AMR,553208,0.00E+00,0.00E+00,0.00E+00,,,,4.12%,0,0,0,,78.95%,0,0.00E+00
Swaziland,AFR,1319011,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sweden,EUR,9799186,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Switzerland,EUR,8282396,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Syrian Arab Republic,EMR,18734987,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Tajikistan,EUR,8548651,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Tanzania,AFR,53879957,1197.57397,"1,691.74","2,889.31",3216046,2651671,82.45%,82.45%,0.0000601,0.0000652,0.0000627,0.792,79.20%,0,0
Thailand,SEA,68657600,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
The former Yugoslav Republic of Macedonia,EUR,2079308,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Timor-Leste,SEA,1240977,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Togo,AFR,7416802,242.93701,458.403226,701.340236,0,0,,38.36%,0.000149566,0.000153,0.000151388,,85.83%,0,0
Tokelau,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Tonga,WPR,106364,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Trinidad and Tobago,AMR,1360092,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tunisia,EMR,11273661,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Turkey,EUR,78271472,0,0,0,,,,44.75%,0,0,0,0.8958,89.58%,0,0
Turkmenistan,EUR,5565284,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Turks and Caicos Islands,AMR,34339,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tuvalu,WPR,11001,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Uganda,AFR,40144870,181.712793,343.579459,525.292252,58942100,"485,774.00",0.82%,0.82%,0.00000959,0.000132,0.0000725,,85.83%,1,3.742387461
Ukraine,EUR,45154029,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United Arab Emirates,EMR,9154302,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
United Kingdom of Great Britain and Northern Ireland,EUR,65128861,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United States,AMR,320896618,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uruguay,AMR,3431552,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
US Virgin Islands,AMR,103574,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uzbekistan,EUR,31298900,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Vanuatu,WPR,264603,8.19590808,8.10875048,16.3046586,277708,0,0.00%,31.22%,0.0000334,0.0000537,0.0000435,,78.95%,1,5.334402954
Venezuela,AMR,31155134,0,0.00,0,,,,4.12%,0,0,0,,78.95%,0,0
Viet Nam,WPR,91713300,0,0,0,"3,712.00",3712,100.00%,100.00%,0.000132325,0.000292,0.000213792,,78.95%,1,0
Wallis and Futuna Islands,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
West Bank and Gaza Strip,EMR,4422143,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Yemen,EMR,26916207,1156.44149,1881.17781,3037.6193,1455523,0,0.00%,11.57%,0.000111429,0.00016,0.000135918,,68.53%,1,261.5261836
Zambia,AFR,16100587,250.870371,219.679406,470.549778,459753600,2795580,0.61%,0.61%,0.0000422,0.0000209,0.0000314,,85.83%,1,2.468771738
Zimbabwe,AFR,15777451,711.293409,"1,171.61","1,882.90",166015900,0.00,0.00%,38.36%,0.0000441,0.0000948,0.0000709,,85.83%,1,924.2386367
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.8202907834,,
