,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
"Borrmann S, 2001","Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",s. haematobium,Gabon,Artesunate & Praziquantel ,Three; Single,4 mg/kg; 40 mg/kg ,90,5 to 13,46 : 44,2001,"School children with presence of Schistome eggs. Exclusion criteria were symptomatic schistosomiasis, recent adequate treatment for schistosomiasis, serious underlying diseases, pregnancy or lactation, and hemoglobin level <7 g/dL",Yes,Yes,8 weeks,81.0%,,The present study clearly underline the importance of a continued effort toward the development of new drugs for the treatment of schistosomiasis.,,"Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",,,,,,,,,,,,,,,,,,
"Borrmann S, 2001","Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",s. haematobium,Gabon,Placebo,Single,Placebo,30,5 to 13,15 : 15,2001,"School children with presence of Schistome eggs. Exclusion criteria were symptomatic schistosomiasis, recent adequate treatment for schistosomiasis, serious underlying diseases, pregnancy or lactation, and hemoglobin level <7 g/dL",Yes,Yes,8 weeks,20.0%,,The present study clearly underline the importance of a continued effort toward the development of new drugs for the treatment of schistosomiasis.,,"Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",,,,,,,,,,,,,,,,,,
"Botros S, 2005","Botros, Sanaa, et al. ""Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt."" International journal for parasitology 35.7 (2005): 787-791.",s. mansoni,Egypt,Praziquantel ,Single,40 mg/kg,"1,131","<20, >20 years old",11:10,2005,children and adolescent aged 12 to 18 years who had S. mansoni eggs in their stool,Yes,Yes,6 weeks post-treatment,79.70%,63.70%,"Findings reported here do not support a rapid emergence of resistance to PZQ. The infections remaining after chemotherapy campaigns tend to be light, and the reproduction is potentially further slowed by compromises in reproductive capacity of the surviving worms. The fact remains that schistosomes continue to survive exposure to PZQ as it is currently dosed and watchfulness to the possible development of drug resistance is warranted.",Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt,"Botros, Sanaa, et al. ""Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt."" International journal for parasitology 35.7 (2005): 787-791.",,,,,,,,,,,,,,,,,,
"Botros S, 2005","Botros, Sanaa, et al. ""Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt."" International journal for parasitology 35.7 (2005): 787-791.",s. mansoni,Egypt,Mirazid,Single,300 mg/day,"1,131","<20, >20 years old",11:11,2005,children and adolescent aged 12 to 18 years who had S. mansoni eggs in their stool,Yes,Yes,6 weeks post-treatment,8.90%,88%,"Findings reported here do not support a rapid emergence of resistance to PZQ. The infections remaining after chemotherapy campaigns tend to be light, and the reproduction is potentially further slowed by compromises in reproductive capacity of the surviving worms. The fact remains that schistosomes continue to survive exposure to PZQ as it is currently dosed and watchfulness to the possible development of drug resistance is warranted.",Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt,"Botros, Sanaa, et al. ""Current status of sensitivity to praziquantel in a focus of potential drug resistance in Egypt."" International journal for parasitology 35.7 (2005): 787-791.",,,,,,,,,,,,,,,,,,
"Branchini ML, 1982","Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",s. mansoni,Brazil,Praziquantel ,Single,45.4 mg/kg,49,10 - 65,16 : 13,1982,patients aged 10 to 65 years with chronic intestinal S. mansoni infection,Yes,Yes,follow-up: six months three consecutive stool (3 slides each) from Kato-Katz and sponta- neous sedimentation methods. EPG expressed as geometric mean,61.10%,,"Praziquental and oxaminiquine at adminstration doses have low toxicity, good tolerance and reasonable cure rates.",,"Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",,,,,,,,,,,,,,,,,,
"Branchini ML, 1982","Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",s. mansoni,Brazil,Oxamniquine ,Single,13.8 mg/kg,52,10 - 65,18 :12,1982,patients aged 10 to 65 years with chronic intestinal S. mansoni infection,Yes,Yes,follow-up: six months three consecutive stool (3 slides each) from Kato-Katz and sponta- neous sedimentation methods. EPG expressed as geometric mean,54%,,"Praziquental and oxaminiquine at adminstration doses have low toxicity, good tolerance and reasonable cure rates.",,"Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,75,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,90.60%,77.60%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,32,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,96.80%,84.10%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,25,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,100%,100%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,36,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,97.20%,96.40%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,47,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,89.40%,95.90%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Cheikh S, 2015","Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,22,5 to 15,1:4,2011,"Parasitological screening was performed in June 2011 to determine the baseline prevalence of S. haematobium, and then a single dose of PZQ was administered to all selected subjects in the transmission season",No,Yes,five weeks after in September 2011 and from February to March 2012.,95.40%,90.90%,"When transmission is strictly seasonal, Praziquantel shows the expected efficacy in reducing the prevalence and intensity of infection, but also a significant effect on the occurrence of reinfection.",Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period,"Senghor, Bruno, et al. ""Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period."" Parasites & vectors 8.1 (2015): 1-11.",,,,,,,,,,,,,,,,,,
"Coulibaly JT, 2012","Stete, Katarina, et al. ""Dynamics of Schistosoma haematobium egg output and associated infection parameters following treatment with praziquantel in school-aged children."" Parasit Vectors 5.1 (2012): 298.",s. haematobium,Côte d'Ivoire,Praziquantel ,Single,40 mg/kg,160,7 to 15,1:1,2012,infected with either S.mansoni or S.haemon,Yes,Yes,"We assessed the efficacy among preschool-aged children (<6 years), where Schistosoma mansoni and S. haematobium coexist. Using a cross-sectional design, children provided two stool and two urine samples before and 3 weeks after treatment.",88.60%,96.70%,The delayed decrease of microhaematuria confirms that lesions in the urinary tract persist longer than egg excretion post-treatment.,Dynamics of Schistosoma haematobium egg output and associated infection parameters following treatment with praziquantel in school-aged children,"Stete, Katarina, et al. ""Dynamics of Schistosoma haematobium egg output and associated infection parameters following treatment with praziquantel in school-aged children."" Parasit Vectors 5.1 (2012): 298.",,,,,,,,,,,,,,,,,,
"Creasey AM, 1986","Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",s. mansoni ,Zimbabwe,Oxamniquine & Praziquantel ,Single,8 mg/kg; 4 mg/kg ,10,7-16 years,34:25,1986,schoolchildren aged 7 to 16 years with both S. mansoni and S. haematobium,Yes,Yes,Cure rate 3 and 6 months,10%,69%,In the treatment of s.mansoni the combination drug dosages in group 2 and 3 proved very effective.,,"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,,,,,,,,,,,,,,,,
"Creasey AM, 1986","Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",s. mansoni ,Zimbabwe,Oxamniquine & Praziquantel ,Single,15 mg/kg; 7.5 mg/kg ,30,7-16 years,34:25,1986,schoolchildren aged 7 to 16 years with both S. mansoni,Yes,Yes,Cure rate 3 and 6 months,38.50%,,In the treatment of s.mansoni the combination drug dosages in group 2 and 3 proved very effective.,,"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,,,,,,,,,,,,,,,,
"Creasey AM, 1986","Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",s. mansoni ,Zimbabwe,Oxamniquine & Praziquantel ,Single,20 mg/kg; 10 mg/kg ,19,7-16 years,34:25,1986,schoolchildren aged 7 to 16 years with both S. mansoni,Yes,Yes,Cure rate 3 and 6 months,52.60%,93.40%,In the treatment of s.mansoni the combination drug dosages in group 2 and 3 proved very effective.,,"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,,,,,,,,,,,,,,,,
"da Cunha AS, 1986","da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",s. mansoni,Brazil,Praziquantel ,Single,30 mg/kg for 6 days,20,15-55,1: 1,1987,adolescent and adult patients aged 15 to 55 years with chronic S. mansoni infection,Yes,Yes,6 months,90%,84%,"In conclusion, it has been proven thât praziquantel is a highly efncacious agent against S, mansoni infections, If âdministered at a total dose of 180 mg/kg divided into either 3 or 6 days, it yields a 907o cure tate. possibly, one Could reac¡' IOO% by increâsing the totâl dose to 240 mg/kg. Furthermore, it wâs conhrmed that the quântitative oogram technique is the most reliable parâsitologicâl method when evaluating the efficacy of new dn¡gs in schistosomiasis mansoni.",80 patients total were involved in the study divided in 4 groups of 20,"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,,,,,,,,,,,,,,,,
